# Extra real-world IP samples for preclass P1 matrix expansion
# Accepted formats:
#   - ip
#   - group|ip
# Only IP literals are consumed by tools/test/preclass_p1_gate_matrix.ps1
external_public_v4|1.1.1.1
external_public_v4|9.9.9.9
external_public_v4|8.8.4.4
external_public_v4|208.67.222.222
external_private_v4|172.16.0.9
external_private_v4|192.168.1.10
external_private_v4|10.0.0.8
external_private_v4|172.31.255.1
external_cgnat_v4|100.64.0.1
external_cgnat_v4|100.127.255.254
external_public_v6|2606:4700:4700::1111
external_public_v6|2a00:1450:4009:80f::200e
external_public_v6|2400:da00::6666
external_public_v6|2001:4860:4860::8844
external_public_v6|2620:fe::fe
